;model1;model2;model3;model4;model5;model6;model7;model8
seconds;7849.67;7990.04;8020.89;8031.60;8069.76;8156.31;8172.84;8277.15
ncomp;3;3;1;1;3;3;3;3
rmse;1.35;1.27;1.58;1.58;13.77;12.71;16.79;16.79
r2;0.27;0.36;0.01;0.01;0.48;0.56;0.23;0.23
bias;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mae;0.92;0.85;1.06;1.06;10.49;9.83;13.68;13.68
mdae;0.69;0.62;0.79;0.79;7.99;7.90;11.73;11.73
rmsev;1.42;1.35;1.65;1.65;13.70;12.75;17.33;17.33
r2v;0.26;0.33;0.00;0.00;0.54;0.60;0.26;0.26
biasv;-0.03;-0.03;0.03;0.03;-0.83;-0.59;-1.89;-1.89
maev;0.94;0.88;1.07;1.07;10.55;9.89;14.23;14.23
mdaev;0.71;0.63;0.83;0.83;8.04;8.07;12.50;12.50
